_object,Pos F1,Pos F2,Pos F3,Volume
"<PK:noesy_HSQC_SilB41_1ag_ref.1.974: @(5.368, 56.92, 9.896)>",5.3675874491725,56.9162354095149,9.8964788009782,1285209060464.4
"<PK:noesy_HSQC_SilB41_1ag_ref.1.975: @(5.366, 57.69, 9.613)>",5.36640331501092,57.6942666877058,9.61250677679401,3847454972259.53
"<PK:noesy_HSQC_SilB41_1ag_ref.1.976: @(5.369, 57.66, 8.073)>",5.36919387969387,57.6580635002398,8.07254938487427,986521883299.047
"<PK:noesy_HSQC_SilB41_1ag_ref.1.977: @(5.367, 57.73, 7.264)>",5.36733366110963,57.7311744689941,7.26376344043997,11827412997500.7
"<PK:noesy_HSQC_SilB41_1ag_ref.1.978: @(5.365, 57.13, 6.785)>",5.36469488454582,57.1300802219033,6.78478184330755,3197520074017.24
"<PK:noesy_HSQC_SilB41_1ag_ref.1.979: @(5.367, 57.05, 5.362)>",5.36714817459739,57.0495201532224,5.36199679201628,27104638101591.5
"<PK:noesy_HSQC_SilB41_1ag_ref.1.980: @(5.364, 57.39, 5.136)>",5.36421063631806,57.3887476875092,5.1361805446346,1692489803628.66
"<PK:noesy_HSQC_SilB41_1ag_ref.1.981: @(5.37, 57.73, 3.535)>",5.37036089518935,57.7259248707787,3.53490199377257,3859242340130.33
"<PK:noesy_HSQC_SilB41_1ag_ref.1.982: @(5.368, 41.64, 3.369)>",5.36792051354618,41.6354702356057,3.36874203421384,28043721690192.1
"<PK:noesy_HSQC_SilB41_1ag_ref.1.983: @(5.371, 57.73, 3.127)>",5.37083972789556,57.7311744689941,3.12697872863965,16340191730387.4
"<PK:noesy_HSQC_SilB41_1ag_ref.1.984: @(5.368, 57.67, 2.818)>",5.36779830501876,57.6696243072413,2.81787680311636,2772312684935.23
"<PK:noesy_HSQC_SilB41_1ag_ref.1.985: @(5.368, 53.86, 0.462)>",5.36802559360861,53.8638507743864,0.461822813180952,4889024786580.76
"<PK:noesy_HSQC_SilB41_1ag_ref.1.986: @(5.328, 56.62, 0.447)>",5.327645877576,56.6195034575701,0.447119561142198,1493902562968.31
"<PK:noesy_HSQC_SilB41_1ag_ref.1.987: @(5.326, 56.55, 3.123)>",5.32631050403329,56.5465066674238,3.12346680538198,3341300732109.05
"<PK:noesy_HSQC_SilB41_1ag_ref.1.988: @(5.326, 56.53, 3.358)>",5.32559492353916,56.5314719527212,3.35822382405714,2776097483848.15
