_object,Pos F1,Pos F2,Pos F3,Volume
"<PK:noesy_HSQC_SilB41_1ag.1.318: @(10.801, 6.776, 124.55)>",10.8006434703048,6.77577458570116,124.553605269488,3986200779.22005
"<PK:noesy_HSQC_SilB41_1ag.1.319: @(10.797, 5.324, 124.48)>",10.797227109276,5.32418688475867,124.478681145741,15616896258.0439
"<PK:noesy_HSQC_SilB41_1ag.1.320: @(10.789, 4.899, 124.51)>",10.7891717321178,4.89856078531712,124.511006831451,6943389902.11488
"<PK:noesy_HSQC_SilB41_1ag.1.321: @(10.801, 3.354, 124.47)>",10.8011793049293,3.35359824571778,124.469551640542,3594364647.35133
"<PK:noesy_HSQC_SilB41_1ag.1.322: @(10.802, 3.114, 124.48)>",10.8024537674166,3.1143371041645,124.477337663075,23379050183.679
"<PK:noesy_HSQC_SilB41_1ag.1.323: @(10.804, 2.438, 124.48)>",10.804159452265,2.43799786578412,124.477237545305,6080109735.13138
"<PK:noesy_HSQC_SilB41_1ag.1.324: @(10.806, 0.437, 124.5)>",10.805950249803,0.436973092535649,124.499011229897,3631729700.72118
"<PK:noesy_HSQC_SilB41_1ag.1.325: @(8.198, 8.572, 121.74)>",8.19786368494587,8.57213957394725,121.743239509727,9295375216.61216
"<PK:noesy_HSQC_SilB41_1ag.1.326: @(8.196, 8.196, 121.78)>",8.1964507731562,8.1961825938053,121.78363870267,274810220337.502
"<PK:noesy_HSQC_SilB41_1ag.1.327: @(8.199, 4.424, 121.79)>",8.19884984173296,4.42370353953117,121.785097488063,12400211400.1123
"<PK:noesy_HSQC_SilB41_1ag.1.328: @(8.2, 4.172, 121.77)>",8.19957939903363,4.17238619699277,121.771974596456,10831229248.7448
"<PK:noesy_HSQC_SilB41_1ag.1.329: @(8.196, 3.403, 121.69)>",8.19611915620135,3.4028682123923,121.687388721887,3631065267.31529
"<PK:noesy_HSQC_SilB41_1ag.1.330: @(8.198, 3.189, 121.85)>",8.1977603496251,3.18868052482803,121.848921665367,9371527294.72608
"<PK:noesy_HSQC_SilB41_1ag.1.331: @(8.199, 3.111, 121.82)>",8.199381919274,3.11143503563972,121.816856182909,13874030113.1338
"<PK:noesy_HSQC_SilB41_1ag.1.332: @(8.202, 2.338, 121.78)>",8.20185923454797,2.33835503690242,121.775059459145,4835273390.038
"<PK:noesy_HSQC_SilB41_1ag.1.333: @(8.198, 1.794, 121.73)>",8.19778866747743,1.79430005498008,121.734358626032,8825439697.87126
"<PK:noesy_HSQC_SilB41_1ag.1.334: @(8.2, 1.409, 121.84)>",8.20039316468464,1.40858025950936,121.842688111693,10688299454.1471
"<PK:noesy_HSQC_SilB41_1ag.1.335: @(8.198, 0.953, 121.77)>",8.19803359205981,0.952529970577197,121.771319841685,13916126237.055
"<PK:noesy_HSQC_SilB41_1ag.1.336: @(8.195, 0.688, 121.88)>",8.19482050942984,0.688156554704793,121.878222970845,18583744564.6185
"<PK:noesy_HSQC_SilB41_1ag.1.337: @(8.194, 0.523, 121.7)>",8.1943738822502,0.52262567167775,121.699728172645,12776780175.7228
"<PK:noesy_HSQC_SilB41_1ag.1.338: @(8.098, 8.095, 126.04)>",8.09800897599664,8.09506434353076,126.035810499635,200842554572.98
"<PK:noesy_HSQC_SilB41_1ag.1.339: @(8.104, 4.39, 126.04)>",8.1037090615869,4.39039669168083,126.044735908713,4446620003.25629
"<PK:noesy_HSQC_SilB41_1ag.1.340: @(8.1, 4.04, 126.06)>",8.09952621671591,4.03975106447402,126.059959471876,55127275077.8119
"<PK:noesy_HSQC_SilB41_1ag.1.341: @(8.093, 3.551, 126.01)>",8.09277638337194,3.55068955943628,126.0107869768,5574817129.1274
"<PK:noesy_HSQC_SilB41_1ag.1.342: @(8.097, 1.151, 126.05)>",8.09720837566293,1.15135575673762,126.045606341352,14372306656.0604
"<PK:noesy_HSQC_SilB41_1ag.1.343: @(8.101, 1.034, 126.05)>",8.10122603306202,1.03388145622056,126.045313709208,10084816012.3847
"<PK:noesy_HSQC_SilB41_1ag.1.344: @(8.099, 0.813, 126.06)>",8.09904655204189,0.813229685994677,126.057625363772,15938700067.1261
"<PK:noesy_HSQC_SilB41_1ag.1.345: @(8.101, 0.585, 126.06)>",8.10078660954657,0.585047767118491,126.062809353785,18752358194.3936
"<PK:noesy_HSQC_SilB41_1ag.1.346: @(8.101, 0.485, 126.06)>",8.10124491163024,0.485168034683754,126.061489549357,33631330399.0391
"<PK:noesy_HSQC_SilB41_1ag.1.347: @(8.099, 0.312, 126.06)>",8.09925545830334,0.312200569955929,126.056529473122,6833981012.86714
"<PK:noesy_HSQC_SilB41_1ag.1.348: @(8.099, -0.192, 126.06)>",8.09938810508528,-0.191932181706301,126.058906305004,8629062856.95333
"<PK:noesy_HSQC_SilB41_1ag.1.349: @(8.648, 8.644, 119.88)>",8.64754223737891,8.64399351651766,119.877014944371,74064399880.3245
"<PK:noesy_HSQC_SilB41_1ag.1.350: @(8.649, 7.14, 119.88)>",8.64885404946773,7.13956910664669,119.881205477852,8763691884.99222
"<PK:noesy_HSQC_SilB41_1ag.1.351: @(8.645, 4.999, 119.88)>",8.64512453863615,4.99918606716879,119.879925823481,4126493199.6464
"<PK:noesy_HSQC_SilB41_1ag.1.352: @(8.648, 4.754, 119.88)>",8.64803929020787,4.75418100984729,119.88109429308,17837009689.8401
"<PK:noesy_HSQC_SilB41_1ag.1.353: @(8.648, 3.168, 119.88)>",8.64833215641743,3.16813212778076,119.882193272196,4138154828.27706
"<PK:noesy_HSQC_SilB41_1ag.1.354: @(8.647, 2.86, 119.88)>",8.64731718497359,2.8601361078733,119.878954500956,7360638590.06324
